"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.257471639318244,"***","(Intercept)",0.0182194110626283,"",0.298459169329663,"***"
"f_ccity9000b",0.172562623765812,"***","f_ccity9000b",0.173473550253405,"***",0.170727946628715,"***"
"f_ccity0010b",0.170061418672197,"***","f_ccity0010b",0.162660090978754,"***",0.197552320667972,"***"
"f_pden9000b",0.0591972690904209,"***","f_pden9000b",0.0135565318266769,"",-0.00310531305345077,""
"f_pden0010b",0.0573012009158243,"***","f_pden0010b",0.0157291570931808,"",-0.0272530904825654,""
"f_pt9000b",-0.170051990648459,"*","f_pt9000b",-0.105560782838981,"",-0.0526789891023475,""
"f_pt0010b",0.0193157281369656,"","f_pt0010b",0.00677852774853879,"",-0.0304337729423525,""
"lncden9000b",-0.0166574798621509,"","lncden9000b",0.0179067106298891,"",0.035593612502556,"*"
"lncden0010b",0.0153513187925459,"","lncden0010b",0.0375105406368194,"***",0.0670604434466019,"***"
"lnpop100",-0.0378021977040325,"***","lnpop100",-0.000473247934648345,"",0.0314820278498023,"***"
"pctyoungbg",0.1393023446256,"***","pctyoungbg",0.162910396284012,"***",0.19561547307979,"***"
"pctnhw",0.195826506546758,"***","pctnhw",0.199459764444625,"***",0.236397579254143,"***"
"pctforeign",-0.130697472616077,"***","pctforeign",-0.144240084064854,"***",-0.130673784904961,"***"
"pctmulti",-0.0679131668125536,"***","pctmulti",-0.0238055059368711,"**",0.0116670900222616,""
"yr0010",0.072890389622303,"**","yr0010",0.0175258832149809,"",-0.0423152903823686,"*"
"WY",-0.0107892675365659,"","WY",0.0191296988934495,"",0.020023654579993,""
