"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.17412052308087,"","(Intercept)",-0.755244403117631,"",-0.264118020387711,""
"f_ccity9000b",0.0330507915704731,"","f_ccity9000b",0.156591077324069,"",0.154251061272579,"**"
"f_ccity0010b",0.172464382103327,"**","f_ccity0010b",0.177637757893165,"**",0.31248905877037,"***"
"f_pden9000b",0.0857992675877487,"","f_pden9000b",-0.214992218492649,"",-0.353715687786384,"**"
"f_pden0010b",-0.0561673533981712,"","f_pden0010b",-0.111704177471839,"",-0.470073336188837,"***"
"f_pt9000b",0.519063609908139,"","f_pt9000b",-2.21265133529585,"",-1.80080229599969,""
"f_pt0010b",-1.71815796838506,"","f_pt0010b",-1.45963446996999,"",-3.99304032027822,"**"
"lncden9000b",0.0380239160817799,"","lncden9000b",0.0154743910975863,"",-0.0599157640626023,""
"lncden0010b",0.0355426682814516,"","lncden0010b",0.0423954342486821,"",-0.00118052667293896,""
"lnpop100",0.000328286376305316,"","lnpop100",0.0505927064920744,"**",0.127897336470602,"***"
"pctyoungbg",-0.013507377496294,"","pctyoungbg",0.010382207267836,"",0.0970996264590697,"***"
"pctnhw",0.143688795785827,"***","pctnhw",0.135034995189608,"***",0.141072521932424,"***"
"pctforeign",0.00159537658069523,"","pctforeign",0.012253296011913,"",-0.0108423810525088,""
"pctmulti",-0.224494122906792,"***","pctmulti",-0.115453983910658,"***",-0.0107311288083731,""
"yr0010",-0.606111271565212,"","yr0010",0.311986959009437,"",-0.672284306240593,""
"WY",-0.00119168878747599,"","WY",0.0195235005194964,"",0.0932768598729811,""
