"","25","sig25","50","sig50","75","sig75"
"f_ccity9000b",0.0154475484109527,"**",0.0328643751983672,"***",0.0414077035423007,"***"
"f_ccity0010b",0.0402998703034733,"***",0.0603652121255425,"***",0.0922752809874086,"***"
"f_pden9000b",0.0903095093381119,"***",0.0181358178036957,"**",-0.0557989731273067,"***"
"f_pden0010b",0.0419080254044473,"***",-0.00808527012203702,"*",-0.0503014003717459,"***"
"f_pt9000b",-0.00378842620389477,"",-0.00903290801082072,"*",-0.00828466235118854,""
"f_pt0010b",-0.018919614979985,"***",-0.0180499857845737,"***",0.0107140587521322,""
"lncden9000b",0.0257778309899327,"***",0.0446861093050223,"***",0.0746971550863896,"***"
"lncden0010b",0.0575250450132147,"***",0.0800308223900292,"***",0.116240221459881,"***"
