"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.271837671830467,"***","(Intercept)",-0.0242822452229272,"***",0.25758567947443,"***"
"f_ccity9000b",0.0735687281748953,"***","f_ccity9000b",0.111377918391807,"***",0.193035233183812,"***"
"f_ccity0010b",-0.0233300503463466,"","f_ccity0010b",0.0673133072201369,"***",0.181628651418808,"***"
"f_pden9000b",0.00644380536457751,"","f_pden9000b",-0.0279085540890573,"*",-0.119957808070337,"***"
"f_pden0010b",-0.0376279653198808,"***","f_pden0010b",-0.0961292287696652,"***",-0.216277152660216,"***"
"f_pt9000b",0.00696896655252615,"","f_pt9000b",0.00610495426993696,"",-0.00731536234391416,""
"f_pt0010b",-0.0300096634339977,"***","f_pt0010b",-0.0288399702179719,"***",0.00135364688142222,""
"lncden9000b",0.0120814546641421,"","lncden9000b",0.0467380169109726,"***",0.128559192589048,"***"
"lncden0010b",-0.0138551460092504,"","lncden0010b",0.0152129530518814,"",0.0601145419210499,"***"
"lnpop100",-0.00842739796629673,"","lnpop100",0.0700684352415065,"***",0.099163873410222,"***"
"pctyoungbg",0.150427489835484,"***","pctyoungbg",0.229233007253366,"***",0.313102431855443,"***"
"pctnhw",0.165589944588495,"***","pctnhw",0.151217323240485,"***",0.155141998068135,"***"
"pctforeign",0.0486972592620035,"***","pctforeign",0.00218145751573943,"",-0.0318272849303666,"***"
"pctmulti",0.0371769984225485,"***","pctmulti",0.0437113388891088,"***",0.0529256686687373,"***"
"yr0010",0.0314602657322662,"***","yr0010",0.000387864874223656,"",-0.0359256565723489,"**"
"WY",0.0120298485185526,"","WY",0.0243190382438846,"",0.0466523875493394,""
