"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-1.76088820514536,"***","(Intercept)",-1.17583533287311,"***",-0.492794050445607,""
"f_ccity9000b",0.574655726670298,"***","f_ccity9000b",0.510132818805123,"***",0.524976780655144,"***"
"f_ccity0010b",0.229150558956322,"***","f_ccity0010b",0.304431072820864,"***",0.403763239413301,"***"
"f_pden9000b",-0.54022544502087,"***","f_pden9000b",-0.416578207565917,"***",-0.529541562287106,"***"
"f_pden0010b",-0.420592505101062,"***","f_pden0010b",-0.459911913936955,"***",-0.744709783940238,"***"
"f_pt9000b",-5.05308340590463,"***","f_pt9000b",-3.99272338972036,"***",-2.93736910022135,""
"f_pt0010b",-4.07656882489713,"***","f_pt0010b",-3.99439219097303,"***",-5.86620838584745,"***"
"lncden9000b",-0.0181781090980427,"","lncden9000b",0.00515306198555815,"",0.0734662045661342,"*"
"lncden0010b",0.0469792412313853,"","lncden0010b",0.0311561678542936,"",0.120237248355544,"*"
"lnpop100",0.103735532769725,"***","lnpop100",0.144154910151801,"***",0.220889678204907,"***"
"pctyoungbg",0.223521919541206,"***","pctyoungbg",0.264726414821706,"***",0.304057097649911,"***"
"pctnhw",0.0132634756907239,"","pctnhw",0.0236633163968796,"",0.00922003294542217,""
"pctforeign",-0.0251217502778505,"","pctforeign",-0.0439495226213505,"*",-0.0474891590418596,"**"
"pctmulti",-0.252418027077955,"***","pctmulti",-0.204042665358238,"***",-0.16353538399171,"***"
"yr0010",0.312831957859982,"","yr0010",-0.0152761286615057,"",-0.999298017132714,""
"WY",0.0247264208216255,"","WY",0.0343186520107562,"",-0.0518023401737396,""
