"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.290229360479652,"","(Intercept)",-0.392372047658517,"",0.490381379570651,""
"f_ccity9000b",0.277752604466878,"***","f_ccity9000b",0.25777878109867,"**",0.105597435782405,""
"f_ccity0010b",0.185698947262601,"**","f_ccity0010b",0.101941903270982,"",0.0429660403920009,""
"f_pden9000b",0.0184401837826727,"","f_pden9000b",-0.0539656590378531,"",-0.0631534387662689,""
"f_pden0010b",0.0853983717069258,"","f_pden0010b",0.0736732502177069,"**",0.024834262318464,""
"f_pt9000b",0.101847925831739,"","f_pt9000b",-1.05420643328741,"",0.545261731400701,""
"f_pt0010b",-0.313436463938271,"","f_pt0010b",-0.0404449128251765,"",0.00195660381035922,""
"lncden9000b",-0.0266002240054907,"","lncden9000b",-0.0700222830787708,"*",-0.0796048922727117,""
"lncden0010b",-0.059067050736261,"","lncden0010b",0.00486096008233893,"",-0.0269298787531583,""
"lnpop100",-0.0391875685044448,"","lnpop100",-0.0367162797350909,"",-0.0510246585459938,""
"pctyoungbg",0.0546659798939988,"*","pctyoungbg",0.11372101176108,"***",0.219794675644854,"***"
"pctnhw",0.247453203404885,"***","pctnhw",0.241401016627637,"***",0.247856618218097,"***"
"pctforeign",-0.0500692756150209,"","pctforeign",-0.027763733177195,"",0.0236188715249462,""
"pctmulti",-0.156783987362245,"***","pctmulti",-0.15676591995942,"***",-0.145971516996303,"***"
"yr0010",-0.00738496740906276,"","yr0010",0.397044621104859,"",-0.124411898673418,""
"WY",-0.0214133552392419,"","WY",-0.103237509497268,"",-0.130348506788215,""
