"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.385168486661444,"***","(Intercept)",-0.0262902173030182,"",0.405441957270983,"***"
"f_ccity9000b",0.0693964899646304,"","f_ccity9000b",-0.0706612564077074,"",-0.150330277053223,"**"
"f_ccity0010b",-0.0749207368667407,"*","f_ccity0010b",-0.032000096821765,"",-0.0304012864444697,""
"f_pden9000b",0.0578908734829953,"","f_pden9000b",0.0136908093839902,"",0.00188552657848452,""
"f_pden0010b",-0.0309708510837708,"","f_pden0010b",-0.0535164707034438,"",0.0170008620480153,""
"f_pt9000b",-0.0317682377058912,"","f_pt9000b",0.0394621895424891,"",0.102016358305168,""
"f_pt0010b",-0.00731104008018951,"","f_pt0010b",-0.00726539397651882,"",0.0991517168907315,"*"
"lncden9000b",-0.017354449964111,"","lncden9000b",0.0441750604344786,"",0.0617878207448216,"*"
"lncden0010b",0.0495892411548305,"*","lncden0010b",0.0337187922240815,"",0.0807991034989783,"**"
"lnpop100",-0.0678041303106755,"***","lnpop100",-0.0222184318190215,"",-0.0055288978252882,""
"pctyoungbg",-0.00196023999339298,"","pctyoungbg",-0.0229065766869667,"",1.30139676495091e-06,""
"pctnhw",0.219579340274476,"***","pctnhw",0.214444013410809,"***",0.298700243655089,"***"
"pctforeign",-0.0113791866597578,"","pctforeign",-0.0116646626560419,"",-0.0301826924765238,"*"
"pctmulti",-0.124067172546944,"***","pctmulti",-0.0644638446374038,"***",-0.0798758032128569,"**"
"yr0010",0.11268353275754,"***","yr0010",0.0289419083664735,"",-0.091883052992525,"**"
"WY",-0.0112829570463741,"","WY",0.058616946283093,"",0.109878459921515,""
