"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.15131677521565,"***","(Intercept)",0.0486276816705231,"***",0.277474629591263,"***"
"f_ccity9000b",-0.0953337267824764,"***","f_ccity9000b",-0.0301468909779529,"*",0.0164956097287367,""
"f_ccity0010b",-0.0741958512254462,"***","f_ccity0010b",-0.0244642130805926,"",0.0260505859436358,""
"f_pden9000b",-0.0173042588079675,"","f_pden9000b",-0.0861191355611463,"***",-0.186436478610637,"***"
"f_pden0010b",0.0611631596107413,"***","f_pden0010b",0.028631961932411,"*",-0.0372343311435097,"**"
"f_pt9000b",-0.00372460486288986,"","f_pt9000b",0.00964163877215718,"",0.0198564225169848,""
"f_pt0010b",0.0228112793346369,"","f_pt0010b",0.011272082262989,"",0.0393966598729327,""
"lncden9000b",-0.00204958952094336,"","lncden9000b",0.0114034715926519,"",0.0096049010209863,""
"lncden0010b",-0.0106524662393794,"","lncden0010b",0.0156100318187687,"",0.0403939209519495,"**"
"lnpop100",-0.0526778038246514,"***","lnpop100",-0.00539952070762761,"",0.00682031295941902,""
"pctyoungbg",0.0554426252954203,"**","pctyoungbg",0.0807487176522699,"***",0.144317836533476,"***"
"pctnhw",0.12366214214866,"***","pctnhw",0.108870466761237,"***",0.0919620772968613,"***"
"pctforeign",0.0281120342908613,"***","pctforeign",0.0238149189310408,"***",0.0353125011162875,"***"
"pctmulti",-0.0617505974293734,"***","pctmulti",-0.0267691795549274,"***",-0.0422671697754643,"***"
"yr0010",0.0395692602091317,"","yr0010",0.0172628624024222,"",-0.0170521071698574,""
"WY",-0.0654437885066854,"","WY",0.0371263944794412,"",0.0278663447670851,""
