"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",0.490137038369659,"","(Intercept)",0.496514277518429,"",1.25282353934299,"***"
"f_ccity9000b",-0.0103654387180325,"","f_ccity9000b",0.0899361169002915,"",0.0163931892018747,""
"f_ccity0010b",0.0702362405928262,"","f_ccity0010b",0.141548810767264,"**",0.186932688726503,"**"
"f_pden9000b",0.16884955171493,"","f_pden9000b",0.0859600268336309,"",0.0648311605219023,""
"f_pden0010b",-0.197220022196534,"*","f_pden0010b",-0.145262110834459,"",-0.167859857083364,""
"f_pt9000b",2.4217461503555,"","f_pt9000b",1.61784803807911,"",3.12230991275368,"**"
"f_pt0010b",-2.12669209915146,"*","f_pt0010b",-1.14324437442666,"",-0.664286907937892,""
"lncden9000b",-0.00342128180999854,"","lncden9000b",0.00415992496439985,"",0.074319755908699,""
"lncden0010b",-0.0257190556111169,"","lncden0010b",0.0340771173764036,"",0.0768041072880004,"**"
"lnpop100",0.00609004776501586,"","lnpop100",0.0401383171950696,"*",0.0458922386593945,"*"
"pctyoungbg",0.127593599484648,"***","pctyoungbg",0.151297681040131,"***",0.139442469261975,"***"
"pctnhw",-0.0767855287004967,"**","pctnhw",-0.0423213585961193,"",-0.0368704796275987,""
"pctforeign",-0.0348108425537341,"","pctforeign",-0.00272756254688015,"",0.0152348093615587,""
"pctmulti",-0.343059307487482,"***","pctmulti",-0.308508704703515,"***",-0.296645093846586,"***"
"yr0010",-1.31960923568238,"**","yr0010",-0.765654553302488,"",-1.14346625423368,"**"
"WY",0.0351112476846527,"","WY",0.0584665550426578,"",-0.0350192510050315,""
