"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.355453267797878,"***","(Intercept)",-0.145733061534691,"***",0.261629375388335,"***"
"f_ccity9000b",0.0670177877987299,"","f_ccity9000b",0.0464455113683507,"",0.12019703025295,""
"f_ccity0010b",0.0357691144485572,"","f_ccity0010b",0.105014223662754,"*",0.366621489929553,"***"
"f_pden9000b",-0.0561735355489772,"","f_pden9000b",-0.11476721225085,"***",-0.360889742044781,"***"
"f_pden0010b",-0.0924873721527921,"**","f_pden0010b",-0.204476245457853,"***",-0.37199256940898,"***"
"f_pt9000b",0.112419564116175,"","f_pt9000b",0.151527374750269,"***",0.214531027143151,"**"
"f_pt0010b",0.115064847949279,"","f_pt0010b",0.12923281693378,"*",0.0785134969920859,""
"lncden9000b",0.0574048096742369,"**","lncden9000b",0.0195718991419978,"",-0.0329527325749748,""
"lncden0010b",-0.00257241661744866,"","lncden0010b",-0.00738119253639659,"",-0.00134180904223004,""
"lnpop100",0.0769014921419591,"***","lnpop100",0.0797124383185901,"**",0.138297416525024,"***"
"pctyoungbg",0.183341815741473,"***","pctyoungbg",0.233053579752116,"***",0.356147438592802,"***"
"pctnhw",0.112280634504325,"***","pctnhw",0.109771306833772,"***",0.11873655662213,"***"
"pctforeign",-0.0597637580663857,"**","pctforeign",-0.0335959496116648,"",-0.0293500172174731,""
"pctmulti",-0.215700091961933,"***","pctmulti",-0.169768169691741,"***",-0.162781688153712,"***"
"yr0010",0.0844099072211887,"**","yr0010",0.131353215220158,"***",0.072935999247544,""
"WY",0.031582088819823,"","WY",0.0560981719319111,"",0.133784477504052,""
