"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.0235591882504333,"","(Intercept)",0.167569168902787,"***",0.334700470795794,"***"
"f_ccity9000b",0.062718733358187,"*","f_ccity9000b",0.0405377095583195,"",0.0688187187897241,"***"
"f_ccity0010b",0.112661392740972,"***","f_ccity0010b",0.114125510750851,"***",0.141742988012412,"***"
"f_pden9000b",-0.0173536970628284,"","f_pden9000b",-0.0492298878041908,"**",-0.11914926993602,"***"
"f_pden0010b",-0.102763061753809,"***","f_pden0010b",-0.0838004717427457,"***",-0.0874788500601401,"***"
"f_pt9000b",-0.148827572651197,"","f_pt9000b",-0.018479282029171,"",-0.0100661546482858,""
"f_pt0010b",-0.500527175809436,"**","f_pt0010b",-0.146395485575396,"***",-0.0873670682850034,"**"
"lncden9000b",-0.0395864620764964,"","lncden9000b",-0.0065952968974033,"",-0.00465122932011063,""
"lncden0010b",0.00812014288561421,"","lncden0010b",0.0370162012146253,"",0.0338772787390769,""
"lnpop100",-0.0360461528753591,"***","lnpop100",0.0163522288512064,"",0.058362130048107,"***"
"pctyoungbg",0.140791961152009,"***","pctyoungbg",0.131808664338922,"***",0.16665052887925,"***"
"pctnhw",0.0407190603080313,"**","pctnhw",0.0694046060702224,"***",0.0882234371866957,"***"
"pctforeign",-0.00358258955805541,"","pctforeign",0.00321370856113969,"",0.0278987584471098,"*"
"pctmulti",-0.0370565587993611,"","pctmulti",0.00208334096487742,"",0.0112356974212812,""
"yr0010",-0.0278483888610457,"","yr0010",0.00377201257948745,"",-0.0131241531417394,""
"WY",0.0376208941704997,"","WY",0.0670067687700486,"",0.0744341553523898,""
