"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.219162373992213,"***","(Intercept)",0.0496630323834219,"*",0.324728539692204,"***"
"f_ccity9000b",-0.055584097794727,"","f_ccity9000b",0.0645905996501577,"",0.0465949393848237,""
"f_ccity0010b",-0.0293353759902935,"","f_ccity0010b",0.0347165179601321,"",0.114446526643308,"***"
"f_pden9000b",0.0904640000952491,"**","f_pden9000b",0.0133152641178132,"",-0.120713831052973,"**"
"f_pden0010b",0.00972919385600157,"","f_pden0010b",-0.00699071458605759,"",-0.0813083679524208,"**"
"f_pt9000b",-0.0740464977560895,"","f_pt9000b",-0.00310282397651657,"",0.00995689759149143,""
"f_pt0010b",-0.0338879325113849,"","f_pt0010b",-0.00596661867283634,"",-0.021227530566384,""
"lncden9000b",-0.110111644895084,"**","lncden9000b",-0.0247040470896072,"",0.0121411067575699,""
"lncden0010b",-0.0188050456339566,"","lncden0010b",0.0467455028126577,"*",0.0752423039409995,"**"
"lnpop100",-0.0460903677424732,"*","lnpop100",-0.00495591771271246,"",0.0274059741609482,""
"pctyoungbg",0.108502628485348,"***","pctyoungbg",0.162568139251086,"***",0.221808288262735,"***"
"pctnhw",0.143215804210029,"***","pctnhw",0.103335036432323,"***",0.138014750344954,"***"
"pctforeign",0.0690089148255743,"","pctforeign",-0.022073590459465,"",0.0227698339571335,""
"pctmulti",-0.169292755513631,"***","pctmulti",-0.154937323088274,"***",-0.144379352530577,"***"
"yr0010",0.0997586450800748,"","yr0010",0.0408777322920014,"",-0.0258367723389112,""
"WY",-0.003833492404465,"","WY",-0.11225468730231,"",-0.0887733378498294,""
