"","25","sig25","50","sig50","75","sig75"
"f_ccity9000b",0.0191209428758974,"*",0.0259747828682252,"***",0.0354252767244679,"***"
"f_ccity0010b",0.0187949431149859,"**",0.0491306978500009,"***",0.0731983153257722,"***"
"f_pden9000b",-0.116291169126616,"***",-0.225339985528156,"***",-0.407193560213292,"***"
"f_pden0010b",-0.102897245341572,"***",-0.174887250891187,"***",-0.291448310367601,"***"
"f_pt9000b",-0.0269700758374845,"**",-0.00253143828327227,"",-0.000494734142890613,""
"f_pt0010b",0.00832507385853023,"",0.0356990297713764,"***",0.0464190063668503,"***"
"lncden9000b",-0.0927603915518922,"***",-0.0565194914335862,"***",-0.0226524809209007,"***"
"lncden0010b",-0.118135777379429,"***",-0.0741063062221068,"***",-0.038825286255482,"***"
