"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.143106698967978,"","(Intercept)",-0.176926698322551,"",0.0859003260714333,""
"f_ccity9000b",0.0412716711000762,"","f_ccity9000b",0.120247599732776,"**",0.198524195393665,"**"
"f_ccity0010b",0.122885821926554,"*","f_ccity0010b",0.201205578207177,"***",0.334808791571242,"***"
"f_pden9000b",0.0577416824479476,"","f_pden9000b",-0.101540139573568,"",-0.299461588360503,"*"
"f_pden0010b",-0.254104406662552,"***","f_pden0010b",-0.437701346787378,"***",-0.974639506590352,"***"
"f_pt9000b",0.736021877013156,"","f_pt9000b",-0.114773458625217,"",-0.335087924131876,""
"f_pt0010b",-1.52887981305156,"*","f_pt0010b",-2.67816828129701,"***",-5.61990802959342,"***"
"lncden9000b",0.0284159963487066,"","lncden9000b",0.0247471313813114,"",-0.0228659425648902,""
"lncden0010b",-0.0219684987357338,"","lncden0010b",-0.0101828241076776,"",0.034496683809132,""
"lnpop100",0.0716051649151393,"**","lnpop100",0.153764787374319,"***",0.264361410581661,"***"
"pctyoungbg",0.204305153956364,"***","pctyoungbg",0.281174373841956,"***",0.404865783628596,"***"
"pctnhw",0.180815999909887,"***","pctnhw",0.197008208454753,"***",0.215769865041314,"***"
"pctforeign",-0.0248631154643992,"","pctforeign",-0.0361237424315315,"*",0.00203083712403785,""
"pctmulti",-0.244617461752117,"***","pctmulti",-0.238624695661489,"***",-0.244271086548986,"***"
"yr0010",-0.676397004165123,"**","yr0010",-0.72624886184335,"**",-1.46062392430362,"***"
"WY",0.169165140431651,"***","WY",0.165287810196544,"***",0.0781587795439768,""
