"","25","sig25","50","sig50","75","sig75"
"f_ccity9000b",0.0382591265014872,"***",0.0284796557093665,"***",0.0209706041144314,"**"
"f_ccity0010b",-0.0301718675464518,"**",0.00384888179010307,"",0.0446548064375923,"***"
"f_pden9000b",-0.057199560935318,"***",-0.115916581156801,"***",-0.263532892325177,"***"
"f_pden0010b",-0.147056307259135,"***",-0.199428397443416,"***",-0.352548325445835,"***"
"f_pt9000b",-0.0400105425451722,"***",-0.013536368178778,"",0.0178465813425675,"*"
"f_pt0010b",-0.0253618147481429,"*",-0.00326895803342126,"",0.0344240592800185,"***"
"lncden9000b",-0.0451927105422031,"***",-0.0316437494965,"***",-0.0270838421601148,"***"
"lncden0010b",-0.0380887191458256,"***",-0.0134262731496528,"*",-0.00361440330605224,""
