"","25","sig25","50","sig50","75","sig75"
"f_ccity9000b",0.0388214639007699,"***",0.0483651949982234,"***",0.0749222200254895,"***"
"f_ccity0010b",0.0119549323268262,"*",0.0386433503881162,"***",0.0695414662583543,"***"
"f_pden9000b",0.0186423540397388,"***",-0.0421149278791565,"***",-0.173148771324679,"***"
"f_pden0010b",0.0122054736738311,"**",-0.0384393842290174,"***",-0.116927279582458,"***"
"f_pt9000b",0.0521831851151119,"***",0.0532264551187829,"***",0.0728959556347403,"***"
"f_pt0010b",0.0336241761689914,"***",0.0401979284635402,"***",0.0678928208002414,"***"
"lncden9000b",-0.0292124758555468,"***",0.000851535564488941,"",0.0258502647214077,"***"
"lncden0010b",0.0019484690368554,"",0.0222375802554641,"***",0.0499000101988891,"***"
