"","25","sig25","50","sig50","75","sig75"
"cc8090_5",0.00939353741529679,"",0.0453441061131609,"***",0.0851818308725783,"***"
"cc9000_5",0.0205328949090092,"*",0.0682008670302942,"***",0.112872019421212,"***"
"cc0010_5",0.0404130570135273,"***",0.0900511031513674,"***",0.174046797839569,"***"
"lnpden8090",-0.0538519222928621,"***",-0.125279182416052,"***",-0.265689560095224,"***"
"lnpden9000",0.00391012649227121,"",-0.0438363249336556,"***",-0.136244823275781,"***"
"lnpden0010",-0.0200179925620476,"***",-0.0615380511316774,"***",-0.130518897326704,"***"
"One_Transit8090",0.00957990931838311,"***",0.0219001916177419,"***",0.04539516911598,"***"
"One_Transit9000",0.00813242393517862,"***",0.015111360077623,"***",0.030542990022108,"***"
"One_Transit0010",0.00549354907672021,"**",0.0121102965145585,"***",0.0291833868346848,"***"
