"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.284454014535312,"***","(Intercept)",-0.055609139444462,"***",0.178665244793258,"***"
"f_ccity9000b",0.0547926334048994,"**","f_ccity9000b",0.0630872975730772,"***",0.0617611561240217,"***"
"f_ccity0010b",-0.0102895016387969,"","f_ccity0010b",0.0136190401149195,"",0.0198600662246004,""
"f_pden9000b",0.0390531031303274,"**","f_pden9000b",-0.0105086959370233,"",-0.0849180318041852,"***"
"f_pden0010b",0.00301482361730424,"","f_pden0010b",-0.0276454810584996,"*",-0.0898890040340274,"***"
"f_pt9000b",0.0456168544409904,"***","f_pt9000b",0.042410433658295,"***",0.0544420173774979,"***"
"f_pt0010b",0.00403934161091586,"","f_pt0010b",0.0501235603091997,"***",0.0937191967008789,"***"
"lncden9000b",-0.0298034174176144,"**","lncden9000b",0.0163481317505874,"",0.036610258727564,"*"
"lncden0010b",-0.0322656613237465,"*","lncden0010b",-0.0108573563542862,"",0.0363924062592773,""
"lnpop100",-0.0803086753274366,"***","lnpop100",-0.0245609067932137,"**",0.0100041488788588,""
"pctyoungbg",0.0591594800331427,"***","pctyoungbg",0.108040904966468,"***",0.185442994058081,"***"
"pctnhw",0.167469015696343,"***","pctnhw",0.177177675045009,"***",0.197998786926918,"***"
"pctforeign",-0.00343394463042069,"","pctforeign",-0.00782100543488659,"",-0.00734990198809273,""
"pctmulti",-0.0139083761558856,"","pctmulti",-0.000825667043091665,"",0.0146656670950186,""
"yr0010",0.074118494996673,"***","yr0010",0.0346535610945116,"**",0.00770721272761903,""
"WY",0.100050687356089,"","WY",0.106270530016287,"**",0.0896492625860176,"*"
