"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.24783787362374,"***","(Intercept)",-0.00448988025337913,"",0.256225140820973,"***"
"f_ccity9000b",-0.0630887450616183,"","f_ccity9000b",-0.0395426853129818,"",-0.128630233350388,"**"
"f_ccity0010b",-0.0103992012910831,"","f_ccity0010b",0.0235253366183443,"",0.0728771898937881,""
"f_pden9000b",-0.0904142892640027,"**","f_pden9000b",-0.115042156975218,"***",-0.148625359163339,"**"
"f_pden0010b",0.0205400066730037,"","f_pden0010b",-0.0210104229431563,"",-0.0683731712578031,""
"f_pt9000b",0.134067268503435,"","f_pt9000b",0.114039239954694,"",0.0762658792269571,""
"f_pt0010b",0.0153127353147804,"","f_pt0010b",-0.0294442959819863,"",0.0138872150510718,""
"lncden9000b",-0.00444384585514739,"","lncden9000b",-0.0366232695412628,"",-0.014071919135545,""
"lncden0010b",-0.015101693137394,"","lncden0010b",0.00790853761909181,"",0.0591532015765769,""
"lnpop100",0.0187963781968019,"","lnpop100",0.0732095382262845,"**",0.130812901671541,"***"
"pctyoungbg",0.180742646341734,"***","pctyoungbg",0.187021251137501,"***",0.273955085723129,"***"
"pctnhw",0.133799716883135,"***","pctnhw",0.12358421708786,"***",0.119572460299611,"***"
"pctforeign",0.0533355176228955,"**","pctforeign",0.086294084897104,"***",0.100597653916913,"***"
"pctmulti",-0.201998482037954,"***","pctmulti",-0.125937770647615,"***",-0.115912556694394,"***"
"yr0010",0.0493892200468051,"","yr0010",0.0331986940431255,"",-0.00522198427587173,""
"WY",0.0429855569551637,"","WY",0.132024781319234,"**",0.0711707222459602,""
