"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.224084645183754,"***","(Intercept)",-0.0760717610233517,"***",0.149381066785124,"***"
"f_ccity9000b",0.161276192932782,"***","f_ccity9000b",0.137286198001287,"***",0.170485800035057,"***"
"f_ccity0010b",0.186508043673852,"***","f_ccity0010b",0.148417886082407,"***",0.153772269968656,"**"
"f_pden9000b",0.0416502539927829,"*","f_pden9000b",-0.0264197407901319,"",-0.170285013035542,"*"
"f_pden0010b",-0.0899130217324491,"**","f_pden0010b",-0.147987131571961,"***",-0.305250504180399,"***"
"f_pt9000b",0.00203732611107662,"","f_pt9000b",0.0292562626910946,"",0.0183459199386071,""
"f_pt0010b",-0.228741317758901,"","f_pt0010b",-0.120279719643519,"",0.100174600856869,""
"lncden9000b",-0.0220645947201233,"","lncden9000b",-0.0266777704563039,"",-0.0212089782080521,""
"lncden0010b",0.023651899927314,"","lncden0010b",0.0837513410627205,"**",0.0592316409247364,""
"lnpop100",0.0387045525590996,"**","lnpop100",0.0901294730838422,"***",0.145180011224898,"***"
"pctyoungbg",0.0632733858772731,"***","pctyoungbg",0.112552418687609,"***",0.198912616932287,"***"
"pctnhw",0.212578869879378,"***","pctnhw",0.200680122467202,"***",0.213820839120006,"***"
"pctforeign",0.0140548220733831,"","pctforeign",0.0216783985485767,"",0.0515061381068909,"**"
"pctmulti",0.00892180414046766,"","pctmulti",0.0263662077861549,"*",0.0659751433894463,"***"
"yr0010",-0.169185168794745,"*","yr0010",-0.0067688676709542,"",0.194008372962274,"**"
"WY",-0.0244274958050731,"","WY",0.0619262745332287,"",-0.0662493995911966,""
