"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.618049647620642,"**","(Intercept)",-0.581801526611271,"",-0.426053173290097,""
"f_ccity9000b",0.118865585737503,"**","f_ccity9000b",0.207952280164478,"**",0.342206934768189,"***"
"f_ccity0010b",0.0309202688735839,"","f_ccity0010b",0.0191959144399363,"",-0.0204069217901566,""
"f_pden9000b",-0.0309590803993719,"","f_pden9000b",-0.20919112073115,"*",-0.394427532126432,"*"
"f_pden0010b",-0.0778576294697832,"***","f_pden0010b",-0.179142265690015,"***",-0.265198611190909,"***"
"f_pt9000b",-0.644120563219068,"","f_pt9000b",-1.63172521335234,"",-2.32449265034213,""
"f_pt0010b",-0.12088084048685,"","f_pt0010b",0.086053813043008,"",0.792329105520945,"***"
"lncden9000b",0.014114293750782,"","lncden9000b",0.0476084196924188,"",0.0364911744355862,""
"lncden0010b",-0.0222230612559354,"","lncden0010b",-0.00625974836665686,"",-0.0348235824907807,""
"lnpop100",0.0341517375174204,"","lnpop100",0.0541817322430948,"**",0.0332276879648826,""
"pctyoungbg",0.134267225735207,"***","pctyoungbg",0.239009513278296,"***",0.354293712824168,"***"
"pctnhw",0.128002626098853,"***","pctnhw",0.139467123285657,"***",0.157093354782626,"***"
"pctforeign",-0.0567883294532187,"**","pctforeign",-0.0494395502262875,"**",-0.0476127963207673,"**"
"pctmulti",-0.342742554778809,"***","pctmulti",-0.296007851675615,"***",-0.293930764238992,"***"
"yr0010",0.311172952409707,"","yr0010",0.585768654583421,"",0.942508954518121,""
"WY",0.0897232868341625,"","WY",0.0540193251059934,"",0.0080489723922097,""
