"","25","sig25","50","sig50","75","sig75"
"cc8090_5",-0.0449131294003792,"***",0.0223413002922277,"**",0.0834698270909572,"***"
"cc9000_5",-0.0680434045444873,"***",-0.00507033491112705,"",0.0781095780791971,"***"
"cc0010_5",-0.117155048673071,"***",-0.0221438307806328,"",0.079451088473086,"***"
"lnpden8090",-0.080523603702388,"***",-0.153663894996754,"***",-0.297170249647446,"***"
"lnpden9000",-0.176730503196895,"***",-0.237037664358322,"***",-0.359760717023172,"***"
"lnpden0010",-0.139658013905505,"***",-0.188966070698015,"***",-0.278739817859971,"***"
"One_Transit8090",0.00679385948866713,"**",0.0152507012078852,"***",0.0306568197092375,"***"
"One_Transit9000",0.000706332909574268,"",0.00302340497819712,"",0.0116823256975789,"***"
"One_Transit0010",0.00429138431213441,"",0.00904524208403796,"***",0.0204051170388404,"***"
