"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.20152463623416,"***","(Intercept)",0.0436011430993007,"*",0.328959656623527,"***"
"f_ccity9000b",0.247021502146148,"***","f_ccity9000b",0.30732053002841,"***",0.352745299230917,"***"
"f_ccity0010b",0.0205534257303563,"","f_ccity0010b",0.0286480365918625,"",0.0987190981554861,"**"
"f_pden9000b",0.182780568399701,"***","f_pden9000b",0.114493822635637,"***",-0.0318839263224355,""
"f_pden0010b",-0.0156167056868607,"","f_pden0010b",-0.0417808235304555,"**",-0.08196448078963,"**"
"f_pt9000b",0.0363305711097092,"*","f_pt9000b",0.0100121699595099,"",0.0343807039506946,""
"f_pt0010b",0.00911910565273167,"","f_pt0010b",-0.00812031368664466,"",-0.0045287917935194,""
"lncden9000b",-0.0392233722758626,"","lncden9000b",-0.00557419676210415,"",0.0643985045182594,""
"lncden0010b",0.0529689263173841,"*","lncden0010b",0.0664190404057627,"**",0.0630844011583758,"**"
"lnpop100",0.0290387916861482,"","lnpop100",0.0775403948238475,"***",0.102262576737825,"***"
"pctyoungbg",0.189724196940795,"***","pctyoungbg",0.202346004743527,"***",0.305137847522082,"***"
"pctnhw",0.113738374174955,"***","pctnhw",0.109424905238314,"***",0.119581410241337,"***"
"pctforeign",-0.0545743048951043,"***","pctforeign",-0.0772790534736533,"***",-0.0626324036206305,"***"
"pctmulti",-0.0877694080873346,"***","pctmulti",-0.00761603928058621,"",0.0283976699276776,""
"yr0010",0.0057371599225966,"","yr0010",-0.00271409153939646,"",-0.0435880246528447,""
"WY",-0.00627626717901865,"","WY",0.0262054777890508,"",0.00668901101245119,""
